id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.04
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.78
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.12
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.88
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.03
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.91
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.62
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.76
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.93
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.09
11,Velvet Skyline,Sable & Gold,R&B,romantic,0.55,95,0.78,0.76,0.25,0.06
12,Monsoon Run,KickDraft,hip-hop,energetic,0.85,138,0.65,0.91,0.06,0.04
13,Piano at 3AM,Clara Voss,classical,melancholic,0.22,58,0.38,0.28,0.97,0.94
14,Desert Wind,The Hollow Pines,folk,relaxed,0.31,76,0.69,0.45,0.88,0.35
15,Bass Drop Protocol,Fractured Signal,electronic,energetic,0.96,142,0.52,0.93,0.02,0.85
16,Sunday Porch,Red Clay Road,country,happy,0.48,102,0.80,0.61,0.72,0.11
17,Iron Curtain,Greywall,metal,angry,0.94,162,0.28,0.41,0.08,0.22
18,Ocean Drift,Orbit Bloom,ambient,dreamy,0.19,63,0.62,0.35,0.83,0.92
19,Street Corner Soul,Blind Bracket,blues,melancholic,0.44,88,0.43,0.56,0.65,0.18
20,Neon Jungle,Casa Ritmo,reggaeton,energetic,0.88,128,0.74,0.92,0.09,0.05
